"Column 1","Column 2","Column 3","Column 4","Column 5"
"DUARD","DUARD","","",""
"DUAYNE","DUAYNE","","",""
"DUC","DUC","","",""
"DUILIO","DUILIO","","",""
"DUK","DUK","","",""
"DUKE","DUKE","","",""
"DULCE","DULCE","","",""
"DULCIE","DULCIE","","",""
"DUMITRU","DUMITRU","","",""
"DUNCAN","DUNCAN","","",""
"DUNG","DUNG","","",""
"DUNIA","DUNIA","","",""
"DURWARD","DURWARD","","",""
"DURWIN","DURWIN","","",""
"DURWOOD","DURWOOD","","",""
"DUSAN","DUSAN","","",""
"DUSTAN","DUSTAN","","",""
"DUSTI","DUSTI","","",""
"DUSTIE","DUSTIE","","",""
"DUSTIN","DUSTIN","","",""
"DUSTY","DUSTY","","",""
"DUWAYNE","DUWAYNE","","",""
"DUY","DUY","","",""
"DWAIN","DWAIN","","",""
"DWAINE","DWAINE","","",""
"DWAN","DWAN","","",""
"DWANA","DWANA","","",""
"DWANE","DWANE","","",""
"DWAYNE","DWAYNE","","",""
"DWIGHT","DWIGHT","","",""
"DYAN","DYAN","","",""
"DYANA","DYANA","","",""
"DYANE","DYANE","","",""
"DYANN","DYANN","","",""
"DYANNA","DYANNA","","",""
"DYANNE","DYANNE","","",""
"DYLAN","DYLAN","","",""
"DZUNG","DZUNG","","",""
"EAMON","EAMON","","",""
"EAMONN","EAMONN","","",""
"EAN","EAN","","",""
"EARL","EARL","","",""
"EARLA","EARLA","","",""
"EARLE","EARLE","","",""
"EARLEAN","EARLEAN","","",""
"EARLEEN","EARLEEN","","",""
"EARLENE","EARLENE","","",""
"EARLIE","EARLIE","","",""
"EARLINE","EARLINE","","",""
"EARLYNE","EARLYNE","","",""
"EARNEST","EARNEST","","",""
"EARNESTINE","EARNESTINE","","",""
"EARNIE","EARNIE","","",""
"EARTHA","EARTHA","","",""
"EARVIN","EARVIN","","",""
"EASON","EASON","","",""
"EASTON","EASTON","","",""
"EBBA","EBBA","","",""
"EBBIE","EBBIE","","",""
