"column1","column2","column3","column4","column5","column6","column7","column8","column9"
"ATTN","ATTN","ATTN:","ATTENTION","ATTN;","ATN:","ATT:","ATT","ATTN."
"FAO","FAO","F.A.O.","F.A.O","FAO:","","","",""
"C/O:","C\O:","CARE OF","C/O","C\O","C/0","C\0","C|O","%"
"T/A","T/A","","","","","","",""
"VIA","VIA","","","","","","",""
"DBA","DBA","DOING BUSINESS AS","","","","","",""
"TRUSTEE FOR"," TRUSTEE FOR","","","","","","",""
"FBO","FBO","FOR THE BENEFIT OF","","","","","",""
"EST","EST","ESTATE OF","THE ESTATE OF","","","","",""
